movie,studio,production_budget,domestic_gross,worldwide_gross,release_month,foreign_gross,net_profit
Lincoln,BV,65000000.0,182207973.0,273346281.0,November,91138308.0,208346281.0
Crazy Rich Asians,WB,30000000.0,174532921.0,238099711.0,August,63566790.0,208099711.0
Super 8,Par.,50000000.0,127004179.0,257972745.0,June,130968566.0,207972745.0
Hidden Figures,Fox,25000000.0,169607287.0,231771716.0,December,62164429.0,206771716.0
Maze Runner: The Death Cure,Fox,61000000.0,58032443.0,265878536.0,January,207846093.0,204878536.0
Paddington,W/Dim.,55000000.0,76223578.0,258789097.0,January,182565519.0,203789097.0
Paranormal Activity 3,Par.,5000000.0,104028807.0,207039844.0,October,103011037.0,202039844.0
Sex and the City 2,WB (NL),95000000.0,95347692.0,294680778.0,May,199333086.0,199680778.0
Grown Ups,Sony,75000000.0,162001186.0,272223430.0,June,110222244.0,197223430.0
Bad Teacher,Sony,19000000.0,100292856.0,215448997.0,June,115156141.0,196448997.0
Cloudy with a Chance of Meatballs 2,Sony,78000000.0,119793567.0,274392649.0,September,154599082.0,196392649.0
X-Men: First Class,Fox,160000000.0,146408305.0,355408305.0,June,209000000.0,195408305.0
Baby Driver,TriS,34000000.0,107825862.0,228104185.0,June,120278323.0,194104185.0
Edge of Tomorrow,WB,178000000.0,100206256.0,370541256.0,June,270335000.0,192541256.0
Megamind,P/DW,130000000.0,148415853.0,321887208.0,November,173471355.0,191887208.0
Divergent,LG/S,85000000.0,150947895.0,276014965.0,March,125067070.0,191014965.0
Me Before You,WB (NL),20000000.0,56245075.0,208265198.0,June,152020123.0,188265198.0
The Help,BV,25000000.0,169705587.0,213120004.0,August,43414417.0,188120004.0
American Reunion,Uni.,50000000.0,56758835.0,236799211.0,April,180040376.0,186799211.0
The Heat,Fox,43000000.0,159581587.0,229727774.0,June,70146187.0,186727774.0
The Expendables,LGF,82000000.0,103068524.0,268268174.0,August,165199650.0,186268174.0
The Divergent Series: Insurgent,LG/S,110000000.0,130179072.0,295075882.0,March,164896810.0,185075882.0
The Social Network,Sony,40000000.0,96962694.0,224922135.0,October,127959441.0,184922135.0
The Great Wall,Uni.,150000000.0,45157105.0,334486852.0,February,289329747.0,184486852.0
Tomb Raider,WB,90000000.0,58250803.0,273477501.0,March,215226698.0,183477501.0
Argo,WB,44500000.0,136025503.0,227140757.0,October,91115254.0,182640757.0
Skyscraper,Uni.,125000000.0,68420120.0,304115534.0,July,235695414.0,179115534.0
Ferdinand,Fox,111000000.0,84410380.0,289847930.0,December,205437550.0,178847930.0
The Tourist,Sony,100000000.0,67631157.0,278731369.0,December,211100212.0,178731369.0
Sully,WB,60000000.0,125070033.0,238524556.0,September,113454523.0,178524556.0
Horrible Bosses,WB (NL),35000000.0,117538559.0,212417601.0,July,94879042.0,177417601.0
The Shape of Water,FoxS,19500000.0,63859435.0,195790794.0,December,131931359.0,176290794.0
Resident Evil: Retribution,SGem,65000000.0,42345531.0,240647629.0,September,198302098.0,175647629.0
Paranormal Activity 2,Par.,3000000.0,84752907.0,177512032.0,October,92759125.0,174512032.0
Straight Outta Compton,Uni.,28000000.0,161197785.0,202182981.0,August,40985196.0,174182981.0
Non-Stop,Uni.,50000000.0,91742160.0,222383055.0,February,130640895.0,172383055.0
The Last Airbender,Par.,150000000.0,131772187.0,319713881.0,July,187941694.0,169713881.0
The Legend of Tarzan,WB,180000000.0,126643061.0,348902025.0,July,222258964.0,168902025.0
Oblivion,Uni.,120000000.0,89107235.0,287916633.0,April,198809398.0,167916633.0
The Vow,SGem,30000000.0,125014030.0,197618160.0,February,72604130.0,167618160.0
Central Intelligence,WB (NL),50000000.0,127440871.0,217194805.0,June,89753934.0,167194805.0
Grown Ups 2,Sony,80000000.0,133668525.0,247023808.0,July,113355283.0,167023808.0
The Emoji Movie,Sony,50000000.0,86089513.0,216562312.0,July,130472799.0,166562312.0
Elysium,TriS,120000000.0,93050117.0,286192091.0,August,193141974.0,166192091.0
Captain Phillips,Sony,55000000.0,107136417.0,220648184.0,October,113511767.0,165648184.0
Valentine's Day,WB (NL),52000000.0,110485654.0,217569328.0,February,107083674.0,165569328.0
Creed II,MGM,50000000.0,115715889.0,213591522.0,November,97875633.0,163591522.0
Magic Mike,WB,7000000.0,113721571.0,170549753.0,June,56828182.0,163549753.0
Epic,Fox,100000000.0,107518682.0,262794441.0,May,155275759.0,162794441.0
Rise of the Guardians,P/DW,145000000.0,103412758.0,306900902.0,November,203488144.0,161900902.0
12 Years a Slave,FoxS,20000000.0,56671993.0,181025343.0,October,124353350.0,161025343.0
Bad Moms,STX,20000000.0,113257297.0,180998716.0,July,67741419.0,160998716.0
21 Jump Street,Sony,42000000.0,138447667.0,202812429.0,March,64364762.0,160812429.0
Salt,Sony,130000000.0,118311368.0,290650494.0,July,172339126.0,160650494.0
Alvin and the Chipmunks: The Road Chip,Fox,90000000.0,85886987.0,249517956.0,December,163630969.0,159517956.0
Insidious: The Last Key,Uni.,10000000.0,67745330.0,167885588.0,January,100140258.0,157885588.0
Gnomeo and Juliet,BV,36000000.0,99967670.0,193737977.0,February,93770307.0,157737977.0
Jack Reacher,Par.,60000000.0,80070736.0,217370736.0,December,137300000.0,157370736.0
The Intern,WB,40000000.0,75764672.0,197115710.0,September,121351038.0,157115710.0
Insidious Chapter 2,FD,5000000.0,83586447.0,161921515.0,September,78335068.0,156921515.0
Into the Woods,BV,56200000.0,128002372.0,213116401.0,December,85114029.0,156916401.0
Arrival,Par.,47000000.0,100546139.0,203127894.0,November,102581755.0,156127894.0
The Descendants,FoxS,20000000.0,82624961.0,175507800.0,November,92882839.0,155507800.0
The Bourne Legacy,Uni.,125000000.0,113203870.0,280355920.0,August,167152050.0,155355920.0
Wrath of the Titans,WB,150000000.0,83670083.0,305270083.0,March,221600000.0,155270083.0
The Other Woman,IFC,40000000.0,83911193.0,195111193.0,April,111200000.0,155111193.0
Pixels,Sony,90000000.0,78765986.0,244041804.0,July,165275818.0,154041804.0
Real Steel,BV,110000000.0,85463309.0,263880341.0,October,178417032.0,153880341.0
Turbo,Fox,135000000.0,83028130.0,286896578.0,July,203868448.0,151896578.0
The Peanuts Movie,Fox,99000000.0,130178411.0,250091610.0,November,119913199.0,151091610.0
Star Trek Beyond,Par.,185000000.0,158848340.0,335802233.0,July,176953893.0,150802233.0
Dracula Untold,Uni.,70000000.0,55991880.0,220241723.0,October,164249843.0,150241723.0
The Girl with the Dragon Tattoo,MBox,90000000.0,102515793.0,239373970.0,December,136858177.0,149373970.0
Ted 2,Uni.,68000000.0,81476385.0,217214143.0,June,135737758.0,149214143.0
"Three Billboards Outside Ebbing, Missouri",FoxS,12000000.0,54513740.0,160191915.0,November,105678175.0,148191915.0
Lee Daniels' The Butler,Wein.,30000000.0,116632095.0,177025498.0,August,60393403.0,147025498.0
Due Date,WB,65000000.0,100539043.0,211739043.0,November,111200000.0,146739043.0
Eat Pray Love,Sony,60000000.0,80574010.0,206598789.0,August,126024779.0,146598789.0
The Good Dinosaur,BV,187500000.0,123087120.0,333771037.0,November,210683917.0,146271037.0
Jackass Presents: Bad Grandpa,Par.,15000000.0,102003019.0,160903019.0,October,58900000.0,145903019.0
